Timme,Pris_ore,Snitt,Hög_gräns,Låg_gräns
0,102.16,110.69170833333334,132.83005,88.55336666666668
1,98.09,110.69170833333334,132.83005,88.55336666666668
2,95.031,110.69170833333334,132.83005,88.55336666666668
3,93.496,110.69170833333334,132.83005,88.55336666666668
4,92.554,110.69170833333334,132.83005,88.55336666666668
5,102.765,110.69170833333334,132.83005,88.55336666666668
6,124.187,110.69170833333334,132.83005,88.55336666666668
7,157.379,110.69170833333334,132.83005,88.55336666666668
8,138.05,110.69170833333334,132.83005,88.55336666666668
9,112.697,110.69170833333334,132.83005,88.55336666666668
10,98.287,110.69170833333334,132.83005,88.55336666666668
11,95.996,110.69170833333334,132.83005,88.55336666666668
12,91.019,110.69170833333334,132.83005,88.55336666666668
13,85.32,110.69170833333334,132.83005,88.55336666666668
14,82.75,110.69170833333334,132.83005,88.55336666666668
15,85.739,110.69170833333334,132.83005,88.55336666666668
16,89.728,110.69170833333334,132.83005,88.55336666666668
17,97.95,110.69170833333334,132.83005,88.55336666666668
18,115.732,110.69170833333334,132.83005,88.55336666666668
19,169.137,110.69170833333334,132.83005,88.55336666666668
20,182.163,110.69170833333334,132.83005,88.55336666666668
21,137.294,110.69170833333334,132.83005,88.55336666666668
22,111.29,110.69170833333334,132.83005,88.55336666666668
23,97.787,110.69170833333334,132.83005,88.55336666666668
