datum,timme,sol_kwh,pris_ore,naiv_import_kwh,naiv_export_kwh,naiv_last_kwh,naiv_kostnad_kr,opt_import_kwh,opt_export_kwh,opt_sol_till_bat_kwh,opt_bat_soc_kwh,opt_bat_chg_kwh,opt_bat_dis_kwh,opt_ev_kwh,opt_kostnad_kr,exporterad_ts
2026-04-17,00:00,0.0,135.83,0.5,0.0,0.5,0.67915,0.0,0.0,0.0,7.5894737,0.0,1.34,0.84,0.0,2026-04-16 16:32
2026-04-17,01:00,0.0,114.73,0.5,0.0,0.5,0.57365,0.0,0.0,0.0,7.0631579,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,02:00,0.0,110.08,0.5,0.0,0.5,0.5504,0.0,0.0,0.0,6.5368421,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,03:00,0.0,100.25,0.5,0.0,0.5,0.50125,0.0,0.0,0.0,6.0105263,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,04:00,0.0,98.19,0.5,0.0,0.5,0.49095,0.0,0.0,0.0,5.4842105,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,05:00,0.0,114.76,0.5,0.0,0.5,0.5738,0.0,0.0,0.0,4.9578947,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,06:00,0.0,140.41,0.5,0.0,0.5,0.70205,0.0,0.0,0.0,4.4315789,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,07:00,1.2518461604499236,175.96,0.0,0.7518461604499236,0.5,-1.190653653534917,0.0,1.2518462,0.0,3.9052632,0.0,0.5,0.0,-1.982473716168,2026-04-16 16:32
2026-04-17,08:00,1.9105895527041912,171.32,0.0,1.4105895527041912,0.5,-2.1749598195235382,0.0,1.9105896,0.0,3.3789474,0.0,0.5,0.0,-2.9458998924479998,2026-04-16 16:32
2026-04-17,09:00,3.4710295483684988,133.34,0.0,2.9710295483684988,0.5,-3.5654137198151012,0.0,3.4710295,0.0,2.8526316,0.0,0.5,0.0,-4.165443661770001,2026-04-16 16:32
2026-04-17,10:00,5.997081759115158,119.61,0.0,5.497081759115158,0.5,-5.917553542869877,0.0,5.9970818,0.0,2.3263158,0.0,0.5,0.0,-6.4557985868820005,2026-04-16 16:32
2026-04-17,11:00,6.718706456814459,97.89,0.0,6.218706456814459,0.5,-5.478742575518107,0.0,6.7187065,0.0,1.8,0.0,0.5,0.0,-5.919247613565001,2026-04-16 16:32
2026-04-17,12:00,7.28986808630086,73.39,0.0,5.28986808630086,2.0,-3.494010769682581,0.0,5.7059179,1.0839502,2.8297527,1.0839502,0.0,0.0,-3.768815832129,2026-04-16 16:32
2026-04-17,13:00,6.698924498694104,58.26,0.0,2.6989244986941037,4.0,-1.4151540716452664,0.0,1.1989245,5.0,7.5797527,5.0,0.0,0.0,-0.62864407233,2026-04-16 16:32
2026-04-17,14:00,5.7809756358878035,37.88,0.0,3.2809756358878035,2.5,-1.1185502137868701,3.2190244,0.0,5.0,12.329753,5.0,0.0,0.0,1.2193664427200002,2026-04-16 16:32
2026-04-17,15:00,3.9392955697034324,29.24,0.0,3.4392955697034324,0.5,-0.9050850221231553,4.0,0.0,3.9392956,16.072083,3.9392956,0.0,0.0,1.1696,2026-04-16 16:32
2026-04-17,16:00,2.029385819631155,62.59,0.0,1.529385819631155,0.5,-0.861518326056426,0.5,0.0,2.0293858,18.0,2.0293858,0.0,0.0,0.31295,2026-04-16 16:32
2026-04-17,17:00,0.7457437954599937,91.05,9.754256204540006,0.0,10.5,8.881250274233675,0.0,0.0,0.0,12.736842,0.0,5.0,5.2457438,0.0,2026-04-16 16:32
2026-04-17,18:00,0.1953953568652064,115.24,10.304604643134793,0.0,10.5,11.875026390748536,0.0,0.19539536,0.0,7.4736842,0.0,5.0,4.5,-0.20265625157759998,2026-04-16 16:32
2026-04-17,19:00,0.1267546378346774,134.41,0.37324536216532256,0.0,0.5,0.5016790912864101,0.0,0.12675464,0.0,3.3789474,0.0,3.89,3.39,-0.15333382046160002,2026-04-16 16:32
2026-04-17,20:00,0.0,126.31,0.5,0.0,0.5,0.6315500000000001,0.0,0.0,0.0,2.8526316,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,21:00,0.0,107.42,0.5,0.0,0.5,0.5371,0.0,0.0,0.0,2.3263158,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,22:00,0.0,102.11,0.5,0.0,0.5,0.51055,0.0,0.0,0.0,1.8,0.0,0.5,0.0,0.0,2026-04-16 16:32
2026-04-17,23:00,0.0,85.81,0.5,0.0,0.5,0.42905,6.5242562,0.0,0.0,1.8,0.0,0.0,6.0242562,5.59846424522,2026-04-16 16:32
